彩种,期数,方案ID,玩法Name,玩法Id,下注内容,投注金额,开奖号码,结果,派彩,返点
江苏快3,20180424015,21062018042401536qo2eke,"同号-三同号-5,5,5",63105,"5,5,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ekb,同号-三同号-全骰,63107,全骰,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ek9,"不同号-二不同号-1,3",62102,"1,3",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qo2ek8,"同号-三同号-4,4,4",63104,"4,4,4",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek5,"同号-三同号-1,1,1",63101,"1,1,1",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek4,"不同号-二不同号-3,6",62112,"3,6",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ek1,"不同号-二不同号-2,5",62108,"2,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2ejv,"同号-二同号-5,5",63205,"5,5",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qn2eju,"不同号-二不同号-1,2",62101,"1,2",4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejr,单骰-单骰-4,61104,4,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejp,单骰-单骰-2,61102,2,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejo,单骰-单骰-6,61106,6,4.0,,等待开奖,0.0,0.0
江苏快3,20180424015,21062018042401536qm2ejl,单骰-单骰-5,61105,5,4.0,,系统撤单,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejj,连码-一中一-4,42604,04,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2eji,连码-一中一-3,42603,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejf,直选-前三直选-前三直选,44201,"06,05,11",10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236op2ejd,连码-一中一-10,42610,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ejc,直选-前二直选-前二直选,44101,"05,04",10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej9,连码-一中一-1,42601,01,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej7,单号-第二球-2,42202,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej6,单号-第三球-2,42302,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236oo2ej3,单号-第三球-3,42303,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2ej2,单号-第二球-11,42211,11,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eiv,单号-第五球-10,42510,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eit,单号-第五球-1,42501,01,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eis,单号-第四球-10,42410,10,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2eip,单号-第五球-2,42502,02,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236on2ein,单号-第四球-3,42403,03,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eim,两面-第三球-单,41303,单,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eij,两面-第三球-大,41301,大,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eii,两面-总和＆龙虎-总和尾大,41605,大,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eif,两面-第二球-小,41202,小,10.0,,等待开奖,0.0,0.0
广东11选5,20180424012,210g2018042401236om2eid,两面-第五球-大,41501,大,10.0,,系统撤单,0.0,0.0
江西11选5,20180424012,21042018042401236oh2eib,连码-一中一-3,42603,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oh2eia,连码-一中一-10,42610,10,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei7,连码-二中二-二中二,43101,"07,01",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei5,连码-前二组选-前二组选,43801,"06,02",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei4,直选-前三直选-前三直选,44201,"09,08,01",2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ei1,单号-第三球-2,42302,02,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236og2ehv,单号-第一球-3,42103,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehu,单号-第一球-11,42111,11,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehr,单号-第二球-1,42201,01,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehq,单号-第五球-3,42503,03,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehn,单号-第二球-10,42210,10,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehl,单号-第一球-9,42109,09,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236of2ehk,单号-第二球-7,42207,07,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehh,单号-第一球-5,42105,05,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehf,单号-第三球-7,42307,07,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehe,两面-第五球-单,41503,单,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2ehb,两面-第二球-单,41203,单,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236oe2eha,两面-第五球-小,41502,小,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236od2eh7,两面-第二球-大,41201,大,2.0,,等待开奖,0.0,0.0
江西11选5,20180424012,21042018042401236od2eh5,两面-总和＆龙虎-总和单,41603,单,2.0,,系统撤单,0.0,0.0
秒速时时彩,201804240653,213620180424065336nq2eh3,前中后-中三-豹子,23201,豹子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2eh1,前中后-中三-对子,23203,对子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2eh0,前中后-后三-杂六,23305,杂六,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egu,前中后-后三-对子,23303,对子,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egr,前中后-前三-半顺,23104,半顺,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336np2egq,1-5球-第四球-2,22402,2,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egn,1-5球-第五球-9,22509,9,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egl,1-5球-第一球-3,22103,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egk,1-5球-第三球-2,22302,2,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egh,1-5球-第一球-7,22107,7,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336no2egf,1-5球-第二球-3,22203,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2ege,1-5球-第三球-0,22310,0,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2egb,1-5球-第五球-3,22503,3,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2ega,1-5球-第四球-5,22405,5,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2eg7,1-5球-第二球-6,22206,6,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nn2eg5,两面-第五球-双,21504,双,1.0,"9,2,5,8,4",已派彩,1.88,0.0
秒速时时彩,201804240653,213620180424065336nn2eg4,两面-第五球-大,21501,大,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nm2eg1,两面-第三球-单,21303,单,1.0,"9,2,5,8,4",已派彩,1.88,0.0
秒速时时彩,201804240653,213620180424065336nm2efv,1-5球-第一球-1,22101,1,1.0,"9,2,5,8,4",未中奖,0.0,0.0
秒速时时彩,201804240653,213620180424065336nm2efu,两面-第二球-小,21202,小,1.0,"9,2,5,8,4",系统撤单,1.88,0.0
台湾5分彩,20180424047,210s2018042404736m12efr,前中后-中三-对子,23203,对子,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m12efp,前中后-前三-顺子,23102,顺子,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m12efo,前中后-中三-半顺,23204,半顺,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m12efl,前中后-后三-豹子,23301,豹子,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m12efk,前中后-中三-杂六,23205,杂六,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m12efh,1-5球-第一球-2,22102,2,8.0,"1,4,6,5,5",未中奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m02eff,1-5球-第二球-9,22209,9,8.0,"1,4,6,5,5",未中奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m02efe,1-5球-第三球-5,22305,5,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m02efb,1-5球-第四球-2,22402,2,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m02efa,1-5球-第二球-7,22207,7,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736m02ef8,1-5球-第五球-1,22501,1,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lv2ef5,1-5球-第三球-8,22308,8,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lv2ef4,1-5球-第三球-0,22310,0,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lv2ef1,1-5球-第一球-7,22107,7,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lv2eev,1-5球-第四球-3,22403,3,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lv2eeu,两面-总和＆龙虎-和,21607,和,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lu2eer,两面-第一球-单,21103,单,8.0,"1,4,6,5,5",已派彩,15.84,0.0
台湾5分彩,20180424047,210s2018042404736lu2eeq,两面-第五球-双,21504,双,8.0,,等待开奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lu2een,两面-第二球-单,21203,单,8.0,"1,4,6,5,5",未中奖,0.0,0.0
台湾5分彩,20180424047,210s2018042404736lu2eel,两面-第一球-双,21104,双,8.0,"1,4,6,5,5",系统撤单,0.0,0.0
北京时时彩,20180424023,210q2018042402336lp2eeh,前中后-前三-顺子,23102,顺子,2.0,"3,6,1,2,6",未中奖,0.0,0.0
北京时时彩,20180424023,210q2018042402336lp2eef,前中后-后三-半顺,23304,半顺,2.0,"3,6,1,2,6",已派彩,5.52,0.0
北京时时彩,20180424023,210q2018042402336lp2eee,前中后-中三-杂六,23205,杂六,2.0,"3,6,1,2,6",未中奖,0.0,0.0
北京时时彩,20180424023,210q2018042402336lp2eeb,前中后-后三-顺子,23302,顺子,2.0,"3,6,1,2,6",未中奖,0.0,0.0
北京时时彩,20180424023,210q2018042402336lp2eea,前中后-前三-对子,23103,对子,2.0,"3,6,1,2,6",未中奖,0.0,0.0
北京时时彩,20180424023,210q2018042402336lm2ee7,两面-第三球-小,21302,小,2.0,"3,6,1,2,6",已派彩,3.98,0.0
北京时时彩,20180424023,210q2018042402336lm2ee5,两面-第二球-单,21203,单,2.0,"3,6,1,2,6",未中奖,0.0,0.0
北京时时彩,20180424023,210q2018042402336lm2ee4,两面-第三球-大,21301,大,2.0,"3,6,1,2,6",系统撤单,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lh2ee1,前中后-前三-顺子,23102,顺子,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lh2ee0,前中后-后三-杂六,23305,杂六,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lh2edt,前中后-后三-半顺,23304,半顺,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lh2edr,前中后-后三-豹子,23301,豹子,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lh2edq,前中后-中三-顺子,23202,顺子,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lg2edn,1-5球-第二球-2,22202,2,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lg2edm,1-5球-第四球-1,22401,1,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lg2edj,1-5球-第五球-5,22505,5,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lg2edh,1-5球-第五球-7,22507,7,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lg2edg,1-5球-第五球-8,22508,8,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2edd,1-5球-第二球-6,22206,6,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2edb,前中后-前三-豹子,23101,豹子,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2eda,1-5球-第三球-4,22304,4,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2ed7,1-5球-第一球-6,22106,6,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2ed6,1-5球-第一球-9,22109,9,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636lf2ed3,两面-第二球-大,21201,大,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636le2ed1,两面-第三球-双,21304,双,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636le2ed0,两面-第一球-大,21101,大,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636le2ect,两面-第四球-小,21402,小,7.0,,等待开奖,0.0,0.0
新疆时时彩,20180424006,210e2018042400636le2ecr,两面-第四球-大,21401,大,7.0,,系统撤单,0.0,0.0
天津时时彩,20180424012,210c2018042401236l92ecp,前中后-前三-对子,23103,对子,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l92ecn,前中后-后三-杂六,23305,杂六,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l82ecl,前中后-前三-半顺,23104,半顺,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l82eck,前中后-后三-豹子,23301,豹子,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l82ech,前中后-中三-半顺,23204,半顺,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l82ecg,前中后-前三-豹子,23101,豹子,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l82ecd,1-5球-第三球-0,22310,0,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72ecb,1-5球-第四球-1,22401,1,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72eca,1-5球-第四球-5,22405,5,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72ec7,1-5球-第一球-7,22107,7,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72ec6,1-5球-第四球-8,22408,8,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72ec4,1-5球-第五球-6,22506,6,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l72ec1,1-5球-第五球-9,22509,9,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l62ec0,1-5球-第四球-4,22404,4,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l62ebt,1-5球-第五球-7,22507,7,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l62ebr,两面-第一球-小,21102,小,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l62ebq,两面-总和＆龙虎-总和大,21601,大,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l62ebn,两面-总和＆龙虎-总和单,21603,单,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l52ebm,两面-第二球-单,21203,单,4.0,,等待开奖,0.0,0.0
天津时时彩,20180424012,210c2018042401236l52ebj,两面-第一球-双,21104,双,4.0,,系统撤单,0.0,0.0
重庆时时彩,20180424030,21022018042403036l12ebh,前中后-前三-顺子,23102,顺子,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036l02ebf,前中后-后三-杂六,23305,杂六,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036l02ebd,前中后-前三-对子,23103,对子,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036l02ebc,前中后-中三-杂六,23205,杂六,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036l02eb9,前中后-前三-杂六,23105,杂六,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036l02eb7,1-5球-第四球-9,22409,9,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kv2eb6,1-5球-第五球-4,22504,4,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kv2eb3,1-5球-第五球-6,22506,6,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kv2eb1,1-5球-第五球-7,22507,7,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kv2eb0,1-5球-第四球-6,22406,6,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kv2eat,1-5球-第四球-0,22410,0,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2eas,1-5球-第四球-8,22408,8,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2eap,1-5球-第四球-2,22402,2,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2ean,1-5球-第四球-5,22405,5,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2eam,1-5球-第三球-8,22308,8,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2eaj,两面-第一球-小,21102,小,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036ku2eai,两面-第二球-单,21203,单,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kt2eaf,两面-第五球-大,21501,大,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kt2ead,两面-总和＆龙虎-虎,21606,虎,5.0,,等待开奖,0.0,0.0
重庆时时彩,20180424030,21022018042403036kt2eac,两面-第四球-双,21404,双,5.0,,系统撤单,0.0,0.0
